api,bottom,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,interval,cum_oil_365,file_no,TD,Section,Latitude,Longitude,CTB,Well_Status_Date_year,Well_Status_Date_month,Well_Status_Date_day,treatment_date_year,treatment_date_month,treatment_date_day,Spud_Date_year,Spud_Date_month,Spud_Date_day,Well_Status_encod,Wellbore_encod,Range_encod,Township_encod,Current_Operator_encod,Original_Operator_encod,Lease_Name_encod,Lease_Number_encod,County_Name_encod,QQ_encod,Field_Name_encod,Produced_Pools_BAKKEN,Produced_Pools_BAKKEN/THREE FORKS,Produced_Pools_BIRDBEAR,Produced_Pools_DUPEROW,"Produced_Pools_DUPEROW,MADISON",Produced_Pools_LODGEPOLE,Produced_Pools_MADISON,"Produced_Pools_MADISON,TYLER",Produced_Pools_ORDOVICIAN,Produced_Pools_RED RIVER,Produced_Pools_SANISH,Produced_Pools_SPEARFISH,Produced_Pools_SPEARFISH/MADISON,Produced_Pools_THREE FORKS,Produced_Pools_TYLER
33061016970000,21331,26923,2,1130766,116,9711,9711,8032,33.5,2599720,267,1,11620,9711,92580.0,20529,21331.0,9,47.906159863438646,-102.59839400748396,120529.0,2011,9,23,2011,9,22,2011,4,11,0,1,93,151,30,50,2375,3197,9,44,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016980000,21152,25717,2,1080114,109,9842,9842,7669,31.9,2805900,285,1,11310,9842,109502.0,20530,21152.0,9,47.90616062628476,-102.59818994615334,120530.0,2011,10,9,2011,10,8,2011,5,17,0,1,93,151,30,50,861,532,9,44,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016990000,20250,26690,2,1120980,114,9776,9776,7690,0.0,1088180,111,1,10474,9776,55861.0,20533,20250.0,8,48.17884921565466,-102.41700200261768,218085.0,2011,11,13,2011,11,13,2011,7,18,0,1,91,154,54,93,1754,620,9,31,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017020000,18625,61136,6,2567712,284,237,9019,8418,27.8,5799564,643,38,9606,9019,187249.0,20542,18865.0,18,48.34084266717653,-102.29557318812829,120542.0,2012,7,15,2012,7,15,2012,4,13,0,1,90,156,18,29,2245,3742,9,30,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017030000,20580,48000,4,2016000,203,9906,9906,8100,32.0,3886020,392,1,10674,9906,162667.0,20551,20580.0,21,47.89041680091621,-102.46587903242892,120551.0,2011,6,17,2011,6,17,2011,3,26,0,1,92,151,46,78,682,1993,9,26,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017050000,14948,13304,3,558768,127,398,4381,4812,24.0,1074306,245,11,10567,4381,96567.0,20561,15397.0,32,47.848364483251075,-102.22844502261492,120561.0,2012,5,2,2012,4,30,2012,1,23,0,1,90,151,18,29,1052,3304,9,38,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017060000,15266,20454,4,859068,185,4641,4641,6008,22.6,2213890,477,1,10625,4641,72037.0,20565,15520.0,17,47.89196061400917,-102.22611026694142,120565.0,2011,8,26,2011,8,25,2011,5,17,0,1,90,151,18,29,1052,3174,9,38,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017080000,20825,25359,2,1065078,108,9831,9831,8699,0.0,1793900,182,1,10994,9831,46687.0,20586,20825.0,25,48.0498251316661,-102.58878556185074,217240.0,2011,10,14,2011,10,12,2011,7,1,0,1,93,153,54,93,2460,570,9,31,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017090000,15516,18423,3,773766,139,307,5543,7057,36.0,1369624,247,18,9973,5543,114434.0,20593,15516.0,29,48.21487921309753,-102.41560264425956,120593.0,2012,1,30,2012,1,13,2011,7,31,0,1,91,155,29,32,833,938,9,44,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017100000,18333,51351,5,2156742,249,8654,8654,5305,24.0,3456696,399,1,9679,8654,103982.0,20598,18512.0,28,48.47480388273801,-102.30086286654871,120598.0,2011,7,18,2011,7,2,2011,4,14,0,1,90,158,18,29,2644,3390,9,37,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
