api,cum_gor_180,cum_gor_30,cum_gor_365,cum_gor_545,cum_gor_730,cum_gor_90,cum_oil_180,cum_oil_30,cum_oil_365,cum_oil_545,cum_oil_730,cum_oil_90,cum_water_180,cum_water_30,cum_water_365,cum_water_545,cum_water_730,cum_water_90,cum_wc_180,cum_wc_30,cum_wc_365,cum_wc_545,cum_wc_730,cum_wc_90
33013017540000,830.346,757.522,,,,863.941,40203.0,6714.0,,,,25901.0,91062.0,35266.0,,,,68799.0,69.373,84.007,,,,72.649
33013017550000,582.287,562.671,,,,561.169,33451.0,4502.0,,,,17075.0,101271.0,42438.0,,,,72419.0,75.17,90.409,,,,80.921
33013017560000,,286.225,,,,386.189,,6207.0,,,,8497.0,,15561.0,,,,24214.0,,71.486,,,,74.024
33013017570000,1132.49,1634.812,,,,1181.836,66284.0,17421.0,,,,43140.0,95979.0,38312.0,,,,71505.0,59.15,68.742,,,,62.371
33013017580000,1096.692,1334.864,,,,1121.034,62446.0,16731.0,,,,38705.0,99500.0,39213.0,,,,73982.0,61.44,70.093,,,,65.653
33013017630000,,1553.435,,,,1194.713,,2639.0,,,,11165.0,,12434.0,,,,32668.0,,82.492,,,,74.528
33013017640000,,1323.022,,,,1028.916,,1597.0,,,,6746.0,,13125.0,,,,34502.0,,89.152,,,,83.645
33013017660000,,601.476,,,,788.379,,2868.0,,,,13653.0,,12915.0,,,,36274.0,,81.829,,,,72.654
33013017670000,,376.691,,,,693.235,,4994.0,,,,16301.0,,24881.0,,,,47375.0,,83.284,,,,74.4
33013017680000,,844.086,,,,831.448,,10165.0,,,,25308.0,,42312.0,,,,70872.0,,80.63,,,,73.687
33013017690000,,1003.756,,,,951.16,,8520.0,,,,21284.0,,34555.0,,,,60948.0,,80.221,,,,74.117
33013017700000,,1119.104,,,,917.201,,8056.0,,,,22941.0,,48966.0,,,,85244.0,,85.872,,,,78.795
33013017710000,,420.027,,,,343.172,,5589.0,,,,19878.0,,8650.0,,,,21120.0,,60.749,,,,51.515
33013017720000,,426.724,,,,327.845,,4322.0,,,,11711.0,,13402.0,,,,27231.0,,75.615,,,,69.927
33013017730000,,,,,,,,,,,,,,,,,,,,,,,,
33013017750000,,449.934,,,,563.132,,13451.0,,,,27052.0,,45716.0,,,,73572.0,,77.266,,,,73.116
33013017760000,,744.564,,,,593.074,,6195.0,,,,23304.0,,29851.0,,,,50631.0,,82.814,,,,68.48
33013017790000,,,,,,,,12947.0,,,,32746.0,,29632.0,,,,51403.0,,69.593,,,,61.086
33013017890000,,802.241,,,,794.045,,8012.0,,,,27772.0,,30308.0,,,,58566.0,,79.092,,,,67.833
33013017900000,,175.707,,,,399.149,,10508.0,,,,26734.0,,26903.0,,,,41153.0,,71.912,,,,60.62
33013017910000,,1487.776,,,,2144.35,,5980.0,,,,15111.0,,25722.0,,,,56589.0,,81.137,,,,78.925
33013017920000,,1060.591,,,,1397.624,,14364.0,,,,43913.0,,28472.0,,,,84527.0,,66.467,,,,65.81
33013017930000,,1579.912,,,,1659.473,,1479.0,,,,5655.0,,8920.0,,,,23627.0,,85.777,,,,80.688
33013017950000,,299.99,,,,455.104,,10075.0,,,,31277.0,,39946.0,,,,59744.0,,79.858,,,,65.638
33013017960000,,,,,,,,,,,,,,,,,,,,,,,,
33013018020000,,,,,,,,,,,,,,,,,,,,,,,,
33023002120000,,,0.0,0.0,,,0.0,0.0,256.0,882.0,,0.0,7591.0,702.0,14311.0,21714.0,,3810.0,100.0,100.0,98.243,96.097,,100.0
33023002440000,651.152,inf,574.725,539.139,537.798,623.59,564.0,0.0,1274.0,1929.0,2880.0,195.0,242.0,94.0,242.0,242.0,242.0,194.0,30.025,100.0,15.963,11.147,7.751,49.871
